DIVISION,DEPARTMENT,BASELINE_START,BASELINE_END,COMPARISON_START,COMPARISON_END,BASELINE_VOLUME,CURRENT_VOLUME,BASELINE_AVG_PRICE,CURRENT_AVG_PRICE,BASELINE_REVENUE,CURRENT_REVENUE,VOLUME_CHANGE_PCT,PRICE_CHANGE_PCT,REVENUE_CHANGE_PCT,REVIEW_SCORE_CHANGE,DELIVERY_DAYS_CHANGE,DRIFT_STATUS,CONFIDENCE_LEVEL,DRIFT_SEVERITY_RANK,DIVISION_AVG_PRICE_CHANGE,BUSINESS_EXPLANATION,RECOMMENDED_ACTION
Home & Living,Garden Tools,2018-07-01,2018-07-31,2018-08-01,2018-08-31,179.0,137.0,146.2222346368715,119.74233576642337,31122.91,20353.07,-23.46,-18.11,-34.6,-0.04,-0.56,DRIFT,Medium,1,-4.46,"Garden Tools moved materially versus the baseline, with -34.6% revenue change, -23.5% unit change, and -18.1% average price movement.","Review demand generation, availability, and merchandising placement before discounting."
Home & Living,Home Confort,2018-07-01,2018-07-31,2018-08-01,2018-08-31,24.0,16.0,124.34916666666668,140.08,3560.26,2571.88,-33.33,12.65,-27.76,0.17,-1.61,DRIFT,Directional,2,-4.46,"Home Confort moved materially versus the baseline, with -27.8% revenue change, -33.3% unit change, and 12.7% average price movement.","Review demand generation, availability, and merchandising placement before discounting."
Home & Living,Housewares,2018-07-01,2018-07-31,2018-08-01,2018-08-31,571.0,625.0,110.58908931698774,95.633264,77624.67,73740.55,9.46,-13.52,-5.0,0.13,-1.25,DRIFT,High,3,-4.46,"Housewares moved materially versus the baseline, with -5.0% revenue change, 9.5% unit change, and -13.5% average price movement.",Monitor the department and keep the current commercial plan.
Home & Living,Bed Bath Table,2018-07-01,2018-07-31,2018-08-01,2018-08-31,621.0,658.0,88.41371980676328,92.75969604863222,68476.01,75207.83,5.96,4.92,9.83,-0.15,-0.31,STABLE,High,4,-4.46,Bed Bath Table is broadly stable versus the selected baseline period.,Monitor the department and keep the current commercial plan.
Home & Living,Furniture Decor,2018-07-01,2018-07-31,2018-08-01,2018-08-31,438.0,432.0,104.24518264840182,95.64872685185185,57327.68,51907.58,-1.37,-8.25,-9.45,-0.24,-0.34,DRIFT,High,5,-4.46,"Furniture Decor moved materially versus the baseline, with -9.4% revenue change, -1.4% unit change, and -8.2% average price movement.",Monitor the department and keep the current commercial plan.
Home & Living,Home Comfort 2,2018-07-01,2018-07-31,2018-08-01,2018-08-31,3.0,,12.9,,85.44,,,,,,,INSUFFICIENT_DATA,Low,6,-4.46,Home Comfort 2 needs more complete order history before a reliable read is possible.,Collect another cycle of orders before changing the commercial plan.
Lifestyle,Books General Interest,2018-07-01,2018-07-31,2018-08-01,2018-08-31,25.0,36.0,163.09799999999998,43.46611111111111,4496.16,2076.9900000000002,44.0,-73.35,-53.81,-0.19,-0.9,DRIFT,Directional,1,-19.7,"Books General Interest moved materially versus the baseline, with -53.8% revenue change, 44.0% unit change, and -73.3% average price movement.",Monitor the department and keep the current commercial plan.
Lifestyle,Books Technical,2018-07-01,2018-07-31,2018-08-01,2018-08-31,28.0,29.0,75.24321428571429,51.1651724137931,2605.41,1861.38,3.57,-32.0,-28.56,0.69,-0.89,DRIFT,Directional,2,-19.7,"Books Technical moved materially versus the baseline, with -28.6% revenue change, 3.6% unit change, and -32.0% average price movement.",Monitor the department and keep the current commercial plan.
Lifestyle,Pet Shop,2018-07-01,2018-07-31,2018-08-01,2018-08-31,160.0,198.0,122.39837499999999,124.28318181818182,23358.39,28492.46,23.75,1.54,21.98,0.02,-1.19,DRIFT,Medium,3,-19.7,"Pet Shop moved materially versus the baseline, with 22.0% revenue change, 23.8% unit change, and 1.5% average price movement.",Monitor the department and keep the current commercial plan.
Lifestyle,Stationery,2018-07-01,2018-07-31,2018-08-01,2018-08-31,191.0,170.0,90.2989005235602,91.55088235294117,21489.7,18980.61,-10.99,1.39,-11.68,0.23,-0.5,STABLE,Medium,4,-19.7,Stationery is broadly stable versus the selected baseline period.,Monitor the department and keep the current commercial plan.
Lifestyle,Sports Leisure,2018-07-01,2018-07-31,2018-08-01,2018-08-31,466.0,473.0,118.39652360515021,108.22443974630022,65662.74,60039.13,1.5,-8.59,-8.56,0.11,-1.05,DRIFT,High,5,-19.7,"Sports Leisure moved materially versus the baseline, with -8.6% revenue change, 1.5% unit change, and -8.6% average price movement.",Monitor the department and keep the current commercial plan.
Lifestyle,Toys,2018-07-01,2018-07-31,2018-08-01,2018-08-31,154.0,165.0,110.53246753246754,102.56818181818181,20360.84,20191.55,7.14,-7.21,-0.83,-0.11,-0.66,STABLE,Medium,6,-19.7,Toys is broadly stable versus the selected baseline period.,Monitor the department and keep the current commercial plan.
Marketplace,Portateis Cozinha E Preparadores De Alimentos,2018-07-01,2018-07-31,2018-08-01,2018-08-31,8.0,4.0,21.50375,450.9,276.08,1905.5600000000002,-50.0,1996.84,590.22,1.62,-0.49,DRIFT,Directional,1,85.84,"Portateis Cozinha E Preparadores De Alimentos moved materially versus the baseline, with 590.2% revenue change, -50.0% unit change, and 1996.8% average price movement.",Test targeted offers or bundles for high-intent customers instead of broad markdowns.
Marketplace,Party Supplies,2018-07-01,2018-07-31,2018-08-01,2018-08-31,2.0,14.0,28.75,91.80642857142857,84.36,1590.42,600.0,219.33,1785.28,-0.21,-0.41,DRIFT,Directional,2,85.84,"Party Supplies moved materially versus the baseline, with 1785.3% revenue change, 600.0% unit change, and 219.3% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Books Imported,2018-07-01,2018-07-31,2018-08-01,2018-08-31,8.0,1.0,50.3475,749.0,516.61,804.96,-87.5,1387.66,55.82,1.5,4.55,DRIFT,Directional,3,85.84,"Books Imported moved materially versus the baseline, with 55.8% revenue change, -87.5% unit change, and 1387.7% average price movement.",Test targeted offers or bundles for high-intent customers instead of broad markdowns.
Marketplace,Market Place,2018-07-01,2018-07-31,2018-08-01,2018-08-31,4.0,8.0,46.695,118.65875,277.34000000000003,1107.97,100.0,154.11,299.5,-1.0,2.84,DRIFT,Directional,4,85.84,"Market Place moved materially versus the baseline, with 299.5% revenue change, 100.0% unit change, and 154.1% average price movement.",Check product quality signals and delivery experience before scaling promotions.
Marketplace,Food,2018-07-01,2018-07-31,2018-08-01,2018-08-31,64.0,116.0,52.78390625,71.17396551724138,4401.42,9676.42,81.25,34.84,119.85,0.18,-1.8,DRIFT,Medium,5,85.84,"Food moved materially versus the baseline, with 119.8% revenue change, 81.2% unit change, and 34.8% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Music,2018-07-01,2018-07-31,2018-08-01,2018-08-31,3.0,6.0,283.09999999999997,82.96833333333333,893.28,582.61,100.0,-70.69,-34.78,-0.33,2.11,DRIFT,Directional,6,85.84,"Music moved materially versus the baseline, with -34.8% revenue change, 100.0% unit change, and -70.7% average price movement.",Investigate fulfillment delays that may be suppressing repeat demand.
Marketplace,Construction Tools Safety,2018-07-01,2018-07-31,2018-08-01,2018-08-31,15.0,25.0,125.93,158.80880000000002,2142.9,4486.68,66.67,26.11,109.37,-0.23,-0.14,DRIFT,Directional,7,85.84,"Construction Tools Safety moved materially versus the baseline, with 109.4% revenue change, 66.7% unit change, and 26.1% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Dvds Blu Ray,2018-07-01,2018-07-31,2018-08-01,2018-08-31,1.0,1.0,83.99,8.9,96.88,16.29,0.0,-89.4,-83.19,3.0,-9.93,DRIFT,Directional,8,85.84,"Dvds Blu Ray moved materially versus the baseline, with -83.2% revenue change, 0.0% unit change, and -89.4% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Costruction Tools Tools,2018-07-01,2018-07-31,2018-08-01,2018-08-31,12.0,14.0,458.43333333333334,89.69785714285715,5779.45,1497.04,16.67,-80.43,-74.1,-0.37,-1.94,DRIFT,Directional,9,85.84,"Costruction Tools Tools moved materially versus the baseline, with -74.1% revenue change, 16.7% unit change, and -80.4% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Costruction Tools Garden,2018-07-01,2018-07-31,2018-08-01,2018-08-31,22.0,23.0,87.39363636363636,160.3808695652174,2520.09,4294.49,4.55,83.52,70.41,-0.57,-1.99,DRIFT,Directional,10,85.84,"Costruction Tools Garden moved materially versus the baseline, with 70.4% revenue change, 4.5% unit change, and 83.5% average price movement.",Check product quality signals and delivery experience before scaling promotions.
Marketplace,Office Furniture,2018-07-01,2018-07-31,2018-08-01,2018-08-31,81.0,30.0,165.3737037037037,225.29566666666668,16928.89,8386.67,-62.96,36.23,-50.46,0.43,-7.21,DRIFT,Directional,11,85.84,"Office Furniture moved materially versus the baseline, with -50.5% revenue change, -63.0% unit change, and 36.2% average price movement.","Review demand generation, availability, and merchandising placement before discounting."
Marketplace,Fixed Telephony,2018-07-01,2018-07-31,2018-08-01,2018-08-31,11.0,10.0,847.2172727272726,272.41700000000003,9658.18,2891.02,-9.09,-67.85,-70.07,0.93,-0.38,DRIFT,Directional,12,85.84,"Fixed Telephony moved materially versus the baseline, with -70.1% revenue change, -9.1% unit change, and -67.8% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Cine Photo,2018-07-01,2018-07-31,2018-08-01,2018-08-31,7.0,10.0,168.36285714285714,68.52799999999999,1291.61,818.29,42.86,-59.3,-36.65,-0.33,-0.73,DRIFT,Directional,13,85.84,"Cine Photo moved materially versus the baseline, with -36.6% revenue change, 42.9% unit change, and -59.3% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Diapers And Hygiene,2018-07-01,2018-07-31,2018-08-01,2018-08-31,3.0,3.0,40.333333333333336,77.29666666666667,197.89,276.92999999999995,0.0,91.64,39.94,0.67,-2.69,DRIFT,Directional,14,85.84,"Diapers And Hygiene moved materially versus the baseline, with 39.9% revenue change, 0.0% unit change, and 91.6% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Drinks,2018-07-01,2018-07-31,2018-08-01,2018-08-31,17.0,30.0,78.53941176470589,49.241,1633.2,1918.02,76.47,-37.3,17.44,-1.26,-1.67,DRIFT,Directional,15,85.84,"Drinks moved materially versus the baseline, with 17.4% revenue change, 76.5% unit change, and -37.3% average price movement.",Check product quality signals and delivery experience before scaling promotions.
Marketplace,Signaling And Security,2018-07-01,2018-07-31,2018-08-01,2018-08-31,29.0,22.0,130.52379310344827,82.98136363636364,6136.1900000000005,2158.67,-24.14,-36.42,-64.82,0.22,-2.59,DRIFT,Directional,16,85.84,"Signaling And Security moved materially versus the baseline, with -64.8% revenue change, -24.1% unit change, and -36.4% average price movement.","Review demand generation, availability, and merchandising placement before discounting."
Marketplace,Computers,2018-07-01,2018-07-31,2018-08-01,2018-08-31,8.0,12.0,1404.875,725.9583333333334,11947.48,9228.25,50.0,-48.33,-22.76,-0.7,-4.84,DRIFT,Directional,17,85.84,"Computers moved materially versus the baseline, with -22.8% revenue change, 50.0% unit change, and -48.3% average price movement.",Check product quality signals and delivery experience before scaling promotions.
Marketplace,Consoles Games,2018-07-01,2018-07-31,2018-08-01,2018-08-31,49.0,61.0,173.85938775510206,77.23344262295082,9539.14,5698.01,24.49,-55.58,-40.27,-0.26,-1.52,DRIFT,Directional,18,85.84,"Consoles Games moved materially versus the baseline, with -40.3% revenue change, 24.5% unit change, and -55.6% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Arts And Craftmanship,2018-07-01,2018-07-31,2018-08-01,2018-08-31,11.0,9.0,59.50636363636364,100.19555555555556,804.6,1069.05,-18.18,68.38,32.87,0.92,-0.4,DRIFT,Directional,19,85.84,"Arts And Craftmanship moved materially versus the baseline, with 32.9% revenue change, -18.2% unit change, and 68.4% average price movement.",Test targeted offers or bundles for high-intent customers instead of broad markdowns.
Marketplace,Industry Commerce And Business,2018-07-01,2018-07-31,2018-08-01,2018-08-31,14.0,10.0,335.515,236.469,5593.900000000001,2744.05,-28.57,-29.52,-50.95,-0.1,-3.27,DRIFT,Directional,20,85.84,"Industry Commerce And Business moved materially versus the baseline, with -51.0% revenue change, -28.6% unit change, and -29.5% average price movement.","Review demand generation, availability, and merchandising placement before discounting."
Marketplace,Furniture Bedroom,2018-07-01,2018-07-31,2018-08-01,2018-08-31,10.0,12.0,138.69,183.08333333333334,1838.77,2819.88,20.0,32.01,53.36,0.63,-0.13,DRIFT,Directional,21,85.84,"Furniture Bedroom moved materially versus the baseline, with 53.4% revenue change, 20.0% unit change, and 32.0% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Uncategorized,2018-07-01,2018-07-31,2018-08-01,2018-08-31,47.0,32.0,98.12765957446808,75.595,5665.78,2929.0,-31.91,-22.96,-48.3,0.29,0.28,DRIFT,Directional,22,85.84,"Uncategorized moved materially versus the baseline, with -48.3% revenue change, -31.9% unit change, and -23.0% average price movement.","Review demand generation, availability, and merchandising placement before discounting."
Marketplace,Pc Gamer,2018-07-01,2018-07-31,2018-08-01,2018-08-31,2.0,1.0,219.0,219.0,457.38,238.63,-50.0,0.0,-47.83,-1.0,7.84,DRIFT,Directional,23,85.84,"Pc Gamer moved materially versus the baseline, with -47.8% revenue change, -50.0% unit change, and 0.0% average price movement.","Review demand generation, availability, and merchandising placement before discounting."
Marketplace,Construction Tools Construction,2018-07-01,2018-07-31,2018-08-01,2018-08-31,115.0,162.0,132.4997391304348,141.46395061728396,17589.95,25925.05,40.87,6.77,47.39,-0.17,-0.62,DRIFT,Medium,24,85.84,"Construction Tools Construction moved materially versus the baseline, with 47.4% revenue change, 40.9% unit change, and 6.8% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Small Appliances Home Oven And Coffee,2018-07-01,2018-07-31,2018-08-01,2018-08-31,15.0,17.0,313.3113333333333,176.27764705882353,5171.36,3391.13,13.33,-43.74,-34.42,-0.57,-1.11,DRIFT,Directional,25,85.84,"Small Appliances Home Oven And Coffee moved materially versus the baseline, with -34.4% revenue change, 13.3% unit change, and -43.7% average price movement.",Check product quality signals and delivery experience before scaling promotions.
Marketplace,Kitchen Dining Laundry Garden Furniture,2018-07-01,2018-07-31,2018-08-01,2018-08-31,23.0,21.0,168.5195652173913,102.68904761904761,4886.72,2756.02,-8.7,-39.06,-43.6,-0.41,-2.12,DRIFT,Directional,26,85.84,"Kitchen Dining Laundry Garden Furniture moved materially versus the baseline, with -43.6% revenue change, -8.7% unit change, and -39.1% average price movement.",Check product quality signals and delivery experience before scaling promotions.
Marketplace,Home Appliances,2018-07-01,2018-07-31,2018-08-01,2018-08-31,79.0,64.0,66.97,100.86562500000001,6541.68,7765.35,-18.99,50.61,18.71,-0.13,0.8,DRIFT,Medium,27,85.84,"Home Appliances moved materially versus the baseline, with 18.7% revenue change, -19.0% unit change, and 50.6% average price movement.",Test targeted offers or bundles for high-intent customers instead of broad markdowns.
Marketplace,Agro Industry And Commerce,2018-07-01,2018-07-31,2018-08-01,2018-08-31,30.0,18.0,258.5563333333333,278.94944444444445,8735.28,5543.74,-40.0,7.89,-36.54,-0.19,-0.83,DRIFT,Directional,28,85.84,"Agro Industry And Commerce moved materially versus the baseline, with -36.5% revenue change, -40.0% unit change, and 7.9% average price movement.","Review demand generation, availability, and merchandising placement before discounting."
Marketplace,Home Appliances 2,2018-07-01,2018-07-31,2018-08-01,2018-08-31,23.0,14.0,547.7095652173913,538.0542857142857,13772.17,8248.52,-39.13,-1.76,-40.11,-0.2,0.1,DRIFT,Directional,29,85.84,"Home Appliances 2 moved materially versus the baseline, with -40.1% revenue change, -39.1% unit change, and -1.8% average price movement.","Review demand generation, availability, and merchandising placement before discounting."
Marketplace,Christmas Supplies,2018-07-01,2018-07-31,2018-08-01,2018-08-31,8.0,11.0,63.695,51.306363636363635,661.6600000000001,778.7099999999999,37.5,-19.45,17.69,-0.38,-0.9,DRIFT,Directional,30,85.84,"Christmas Supplies moved materially versus the baseline, with 17.7% revenue change, 37.5% unit change, and -19.4% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Air Conditioning,2018-07-01,2018-07-31,2018-08-01,2018-08-31,17.0,21.0,156.34470588235294,169.3761904761905,3137.45,4007.8199999999997,23.53,8.34,27.74,-0.31,-1.42,DRIFT,Directional,31,85.84,"Air Conditioning moved materially versus the baseline, with 27.7% revenue change, 23.5% unit change, and 8.3% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Furniture Living Room,2018-07-01,2018-07-31,2018-08-01,2018-08-31,55.0,40.0,123.266,130.58350000000002,8840.31,6690.29,-27.27,5.94,-24.32,-0.41,-1.21,DRIFT,Directional,32,85.84,"Furniture Living Room moved materially versus the baseline, with -24.3% revenue change, -27.3% unit change, and 5.9% average price movement.","Review demand generation, availability, and merchandising placement before discounting."
Marketplace,Musical Instruments,2018-07-01,2018-07-31,2018-08-01,2018-08-31,36.0,41.0,218.66472222222222,256.5692682926829,9309.47,11705.45,13.89,17.33,25.74,-0.12,-1.81,DRIFT,Directional,33,85.84,"Musical Instruments moved materially versus the baseline, with 25.7% revenue change, 13.9% unit change, and 17.3% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Cool Stuff,2018-07-01,2018-07-31,2018-08-01,2018-08-31,117.0,123.0,182.49410256410258,132.9640650406504,24660.1,19091.64,5.13,-27.14,-22.58,-0.35,-0.27,DRIFT,Medium,34,85.84,"Cool Stuff moved materially versus the baseline, with -22.6% revenue change, 5.1% unit change, and -27.1% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Food Drink,2018-07-01,2018-07-31,2018-08-01,2018-08-31,17.0,21.0,45.807647058823534,48.981428571428566,1121.56,1340.39,23.53,6.93,19.51,0.22,-1.48,DRIFT,Directional,35,85.84,"Food Drink moved materially versus the baseline, with 19.5% revenue change, 23.5% unit change, and 6.9% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Home Construction,2018-07-01,2018-07-31,2018-08-01,2018-08-31,61.0,49.0,111.14999999999999,143.1869387755102,8298.17,8312.99,-19.67,28.82,0.18,-0.36,-1.16,DRIFT,Directional,36,85.84,"Home Construction moved materially versus the baseline, with 0.2% revenue change, -19.7% unit change, and 28.8% average price movement.",Test targeted offers or bundles for high-intent customers instead of broad markdowns.
Marketplace,Art,2018-07-01,2018-07-31,2018-08-01,2018-08-31,21.0,18.0,87.77142857142856,82.29944444444443,2265.73,1775.9,-14.29,-6.23,-21.62,0.3,-1.36,DRIFT,Directional,37,85.84,"Art moved materially versus the baseline, with -21.6% revenue change, -14.3% unit change, and -6.2% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Luggage Accessories,2018-07-01,2018-07-31,2018-08-01,2018-08-31,54.0,65.0,107.80962962962964,103.96938461538461,7193.09,8157.53,20.37,-3.56,13.41,0.01,-1.14,DRIFT,Directional,38,85.84,"Luggage Accessories moved materially versus the baseline, with 13.4% revenue change, 20.4% unit change, and -3.6% average price movement.",Monitor the department and keep the current commercial plan.
Marketplace,Construction Tools Lights,2018-07-01,2018-07-31,2018-08-01,2018-08-31,55.0,62.0,131.8110909090909,132.4601612903226,8631.4,9888.59,12.73,0.49,14.57,-0.79,-0.68,DRIFT,Directional,39,85.84,"Construction Tools Lights moved materially versus the baseline, with 14.6% revenue change, 12.7% unit change, and 0.5% average price movement.",Check product quality signals and delivery experience before scaling promotions.
Marketplace,Auto,2018-07-01,2018-07-31,2018-08-01,2018-08-31,342.0,374.0,127.3824269005848,120.80871657754011,50881.24,52835.07,9.36,-5.16,3.84,-0.14,-1.34,STABLE,High,40,85.84,Auto is broadly stable versus the selected baseline period.,Monitor the department and keep the current commercial plan.
Marketplace,Baby,2018-07-01,2018-07-31,2018-08-01,2018-08-31,216.0,216.0,101.96300925925925,101.64930555555556,27116.42,26714.91,0.0,-0.31,-1.48,-0.2,-1.8,STABLE,High,41,85.84,Baby is broadly stable versus the selected baseline period.,Monitor the department and keep the current commercial plan.
Marketplace,Fashio Female Clothing,2018-07-01,2018-07-31,2018-08-01,2018-08-31,,3.0,,43.32333333333333,,169.13,,,,,,INSUFFICIENT_DATA,Low,42,85.84,Fashio Female Clothing needs more complete order history before a reliable read is possible.,Collect another cycle of orders before changing the commercial plan.
Marketplace,Fashion Sport,2018-07-01,2018-07-31,2018-08-01,2018-08-31,,1.0,,69.9,,83.05000000000001,,,,,,INSUFFICIENT_DATA,Low,42,85.84,Fashion Sport needs more complete order history before a reliable read is possible.,Collect another cycle of orders before changing the commercial plan.
Marketplace,Flowers,2018-07-01,2018-07-31,2018-08-01,2018-08-31,2.0,,23.994999999999997,,83.36,,,,,,,INSUFFICIENT_DATA,Low,42,85.84,Flowers needs more complete order history before a reliable read is possible.,Collect another cycle of orders before changing the commercial plan.
Marketplace,Furniture Mattress And Upholstery,2018-07-01,2018-07-31,2018-08-01,2018-08-31,1.0,,129.9,,141.83,,,,,,,INSUFFICIENT_DATA,Low,42,85.84,Furniture Mattress And Upholstery needs more complete order history before a reliable read is possible.,Collect another cycle of orders before changing the commercial plan.
